Year,Month,Ridership
2008,Jan,39242000
2008,Feb,35150000
2008,Mar,44924000
2008,Apr,33965000
2008,May,35357000
2008,Jun,43944000
2008,Jul,35532000
2008,Aug,34919000
2008,Sep,47629000
2008,Oct,38162000
2008,Nov,39630000
2008,Dec,38246000
2009,Jan,38164000
2009,Feb,36772000
2009,Mar,45583000
2009,Apr,35620000
2009,May,36377000
2009,Jun,44292000
2009,Jul,35386000
2009,Aug,34056000
2009,Sep,47842000
2009,Oct,37945000
2009,Nov,38732000
2009,Dec,40464000
2010,Jan,37403000
2010,Feb,36780000
2010,Mar,44902000
2010,Apr,36178000
2010,May,36823000
2010,Jun,44980000
2010,Jul,36427000
2010,Aug,34479000
2010,Sep,48479000
2010,Oct,38956000
2010,Nov,39174000
2010,Dec,42776000
2011,Jan,38249000
2011,Feb,38043000
2011,Mar,48174000
2011,Apr,37900000
2011,May,38786000
2011,Jun,48086000
2011,Jul,38128000
2011,Aug,35277000
2011,Sep,50446000
2011,Oct,40463000
2011,Nov,40661000
2011,Dec,46006000
2012,Jan,37936000
2012,Feb,39251000
2012,Mar,49555000
2012,Apr,38949000
2012,May,38951000
2012,Jun,50362000
2012,Jul,37384000
2012,Aug,36753000
2012,Sep,51614000
2012,Oct,41339000
2012,Nov,42202000
2012,Dec,49711000
2013,Jan,46045000
2013,Feb,40655000
2013,Mar,50204000
2013,Apr,40766000
2013,May,40114000
2013,Jun,50389000
2013,Jul,38989000
2013,Aug,38400000
2013,Sep,53046000
2013,Oct,42301000
2013,Nov,43328000
2013,Dec,40957000
2014,Jan,45612000
2014,Feb,41527000
2014,Mar,51320000
2014,Apr,40740000
2014,May,41040000
2014,Jun,50146000
2014,Jul,39939000
2014,Aug,38795000
2014,Sep,53197000
2014,Oct,43581000
2014,Nov,45322000
2014,Dec,43596000
2015,Jan,45027000
2015,Feb,41682000
2015,Mar,50982000
2015,Apr,42045000
2015,May,41505000
2015,Jun,49881000
2015,Jul,39247000
2015,Aug,38275000
2015,Sep,52277000
2015,Oct,42918000
2015,Nov,44175000
2015,Dec,45991000
2016,Jan,43490000
2016,Feb,40371000
2016,Mar,50867000
2016,Apr,42816000
2016,May,41308000
2016,Jun,51285000
2016,Jul,41274000
2016,Aug,37974000
2016,Sep,52481000
2016,Oct,43064000
2016,Nov,44112000
2016,Dec,49037000
2017,Jan,39606000
2017,Feb,40966000
2017,Mar,51768000
2017,Apr,41978000
2017,May,40598000
2017,Jun,52528000
2017,Jul,40182000
2017,Aug,38144000
2017,Sep,52473000
2017,Oct,42279000
2017,Nov,43080000
2017,Dec,49614000
2018,Jan,47565000
2018,Feb,41112000
2018,Mar,50732000
2018,Apr,41302000
2018,May,39941000
2018,Jun,50966000
2018,Jul,39054000
2018,Aug,37217000
2018,Sep,41986000
2018,Oct,40934000
2018,Nov,52207000
2018,Dec,38388000
2019,Jan,45792000
2019,Feb,39421000
2019,Mar,51989000
2019,Apr,39413000
2019,May,39989000
2019,Jun,51209000
2019,Jul,39758000
2019,Aug,38453000
2019,Sep,53236000
2019,Oct,41624000
2019,Nov,43707000
2019,Dec,40879000
2020,Jan,44678000
2020,Feb,40326000
2020,Mar,26783000
2020,Apr,5037000
2020,May,6529000
2020,Jun,11237000
2020,Jul,13122000
2020,Aug,14622000
2020,Sep,19661000
2020,Oct,14750000
2020,Nov,14584000
2020,Dec,13671000
2021,Jan,10895000
2021,Feb,10897000
2021,Mar,15665000
2021,Apr,11038000
2021,May,11452000
2021,Jun,16599000
2021,Jul,15610000
2021,Aug,16707000
2021,Sep,23587000
2021,Oct,20451000
2021,Nov,21646000
2021,Dec,23294000
2022,Jan,14565000
2022,Feb,18937000
2022,Mar,27538000
2022,Apr,22390000
2022,May,24686000
2022,Jun,32229000